TIME    	VOLTAGE 	CURRENT
0.000000	0.000000	-55.591618
0.000100	9.705925	-51.242253
0.000200	19.402271	-46.842317
0.000300	29.079469	-42.396154
0.000400	38.727969	-37.908150
0.000500	48.338250	-33.382736
0.000600	57.900826	-28.824378
0.000700	67.406262	-24.237573
0.000800	76.845175	-19.626848
0.000900	86.208252	-14.996755
0.001000	95.486251	-10.351861
0.001100	104.670017	-5.696751
0.001200	113.750487	-1.036019
0.001300	122.718698	3.625735
0.001400	131.565801	8.283911
0.001500	140.283064	12.933912
0.001600	148.861885	17.571149
0.001700	157.293797	22.191045
0.001800	165.570480	26.789041
0.001900	173.683764	31.360600
0.002000	181.625643	35.901209
0.002100	189.388280	40.406389
0.002200	196.964013	44.871692
0.002300	204.345366	49.292712
0.002400	211.525056	53.665086
0.002500	218.495995	57.984499
0.002600	225.251306	62.246689
0.002700	231.784321	66.447449
0.002800	238.088592	70.582633
0.002900	244.157899	74.648160
0.003000	249.986251	78.640019
0.003100	255.567897	82.554269
0.003200	260.897329	86.387049
0.003300	265.969286	90.134575
0.003400	270.778764	93.793149
0.003500	275.321016	97.359160
0.003600	279.591559	100.829090
0.003700	283.586179	104.199513
0.003800	287.300934	107.467104
0.003900	290.732158	110.628638
0.004000	293.876464	113.680995
0.004100	296.730749	116.621163
0.004200	299.292197	119.446240
0.004300	301.558279	122.153437
0.004400	303.526760	124.740084
0.004500	305.195697	127.203627
0.004600	306.563443	129.541636
0.004700	307.628647	131.751803
0.004800	308.390259	133.831947
0.004900	308.847527	135.780015
0.005000	309.000000	137.594084
0.005100	308.847527	139.272365
0.005200	308.390259	140.813200
0.005300	307.628647	142.215070
0.005400	306.563443	143.476591
0.005500	305.195697	144.596518
0.005600	303.526760	145.573745
0.005700	301.558279	146.407309
0.005800	299.292197	147.096386
0.005900	296.730749	147.640297
0.006000	293.876464	148.038505
0.006100	290.732158	148.290617
0.006200	287.300934	148.396384
0.006300	283.586179	148.355701
0.006400	279.591559	148.168609
0.006500	275.321016	147.835293
0.006600	270.778764	147.356081
0.006700	265.969286	146.731447
0.006800	260.897329	145.962006
0.006900	255.567897	145.048519
0.007000	249.986251	143.991886
0.007100	244.157899	142.793150
0.007200	238.088592	141.453495
0.007300	231.784321	139.974242
0.007400	225.251306	138.356852
0.007500	218.495995	136.602920
0.007600	211.525056	134.714178
0.007700	204.345366	132.692489
0.007800	196.964013	130.539848
0.007900	189.388280	128.258381
0.008000	181.625643	125.850337
0.008100	173.683764	123.318095
0.008200	165.570480	120.664153
0.008300	157.293797	117.891130
0.008400	148.861885	115.001762
0.008500	140.283064	111.998902
0.008600	131.565801	108.885512
0.008700	122.718698	105.664665
0.008800	113.750487	102.339540
0.008900	104.670017	98.913419
0.009000	95.486251	95.389681
0.009100	86.208252	91.771806
0.009200	76.845175	88.063363
0.009300	67.406262	84.268012
0.009400	57.900826	80.389498
0.009500	48.338250	76.431650
0.009600	38.727969	72.398373
0.009700	29.079469	68.293648
0.009800	19.402271	64.121525
0.009900	9.705925	59.886122
0.010000	0.000000	55.591618
0.010100	-9.705925	51.242253
0.010200	-19.402271	46.842317
0.010300	-29.079469	42.396154
0.010400	-38.727969	37.908150
0.010500	-48.338250	33.382736
0.010600	-57.900826	28.824378
0.010700	-67.406262	24.237573
0.010800	-76.845175	19.626848
0.010900	-86.208252	14.996755
0.011000	-95.486251	10.351861
0.011100	-104.670017	5.696751
0.011200	-113.750487	1.036019
0.011300	-122.718698	-3.625735
0.011400	-131.565801	-8.283911
0.011500	-140.283064	-12.933912
0.011600	-148.861885	-17.571149
0.011700	-157.293797	-22.191045
0.011800	-165.570480	-26.789041
0.011900	-173.683764	-31.360600
0.012000	-181.625643	-35.901209
0.012100	-189.388280	-40.406389
0.012200	-196.964013	-44.871692
0.012300	-204.345366	-49.292712
0.012400	-211.525056	-53.665086
0.012500	-218.495995	-57.984499
0.012600	-225.251306	-62.246689
0.012700	-231.784321	-66.447449
0.012800	-238.088592	-70.582633
0.012900	-244.157899	-74.648160
0.013000	-249.986251	-78.640019
0.013100	-255.567897	-82.554269
0.013200	-260.897329	-86.387049
0.013300	-265.969286	-90.134575
0.013400	-270.778764	-93.793149
0.013500	-275.321016	-97.359160
0.013600	-279.591559	-100.829090
0.013700	-283.586179	-104.199513
0.013800	-287.300934	-107.467104
0.013900	-290.732158	-110.628638
0.014000	-293.876464	-113.680995
0.014100	-296.730749	-116.621163
0.014200	-299.292197	-119.446240
0.014300	-301.558279	-122.153437
0.014400	-303.526760	-124.740084
0.014500	-305.195697	-127.203627
0.014600	-306.563443	-129.541636
0.014700	-307.628647	-131.751803
0.014800	-308.390259	-133.831947
0.014900	-308.847527	-135.780015
0.015000	-309.000000	-137.594084
0.015100	-308.847527	-139.272365
0.015200	-308.390259	-140.813200
0.015300	-307.628647	-142.215070
0.015400	-306.563443	-143.476591
0.015500	-305.195697	-144.596518
0.015600	-303.526760	-145.573745
0.015700	-301.558279	-146.407309
0.015800	-299.292197	-147.096386
0.015900	-296.730749	-147.640297
0.016000	-293.876464	-148.038505
0.016100	-290.732158	-148.290617
0.016200	-287.300934	-148.396384
0.016300	-283.586179	-148.355701
0.016400	-279.591559	-148.168609
0.016500	-275.321016	-147.835293
0.016600	-270.778764	-147.356081
0.016700	-265.969286	-146.731447
0.016800	-260.897329	-145.962006
0.016900	-255.567897	-145.048519
0.017000	-249.986251	-143.991886
0.017100	-244.157899	-142.793150
0.017200	-238.088592	-141.453495
0.017300	-231.784321	-139.974242
0.017400	-225.251306	-138.356852
0.017500	-218.495995	-136.602920
0.017600	-211.525056	-134.714178
0.017700	-204.345366	-132.692489
0.017800	-196.964013	-130.539848
0.017900	-189.388280	-128.258381
0.018000	-181.625643	-125.850337
0.018100	-173.683764	-123.318095
0.018200	-165.570480	-120.664153
0.018300	-157.293797	-117.891130
0.018400	-148.861885	-115.001762
0.018500	-140.283064	-111.998902
0.018600	-131.565801	-108.885512
0.018700	-122.718698	-105.664665
0.018800	-113.750487	-102.339540
0.018900	-104.670017	-98.913419
0.019000	-95.486251	-95.389681
0.019100	-86.208252	-91.771806
0.019200	-76.845175	-88.063363
0.019300	-67.406262	-84.268012
0.019400	-57.900826	-80.389498
0.019500	-48.338250	-76.431650
0.019600	-38.727969	-72.398373
0.019700	-29.079469	-68.293648
0.019800	-19.402271	-64.121525
0.019900	-9.705925	-59.886122
